Comment,Sentiment
Enak 😍,baik
Syahduu kak 😍🍃,buruk
Kepoooooo deh,baik
Ini enakkk bgt,baik
Ketok enak ki🔥🔥,baik
"Pernah kesini, porsinya uakeh pol",buruk
Baru tau ada resto salad,baik
Wahhh mantapppp🔥😍,baik
Endesss ini mah......rasa yg patut dicobaaa,buruk
"tanya dulu ya, misal viral terus ramai, jaminan kualitas rasanya sama ndk ya? yg sudah2 sih viral terus asal aja masaknya, jadi cm numpang lewat saja bukan menjadi langganan dikemudian hari",buruk
Owner nya baik 😊,baik
"Sepertinya mak nyus, tapi sayang rame nya gak karuan ya ? mikir2 lagi berarti 😅",buruk
50 meter dari rumah orang tuaku ini😮,buruk
Recommended 👍👍,baik
Dimana bro lokasi nya gua tertarik ni,buruk
Info kak @sutarto_dwis,baik
Mampir ke @bakmi_pakbagongbaturan .itu jg teras rumah di sulap jd warung bakmi🔥,baik
"Worth it bgt ini. Porsinya buat saya yg lagi pengen bulky, pas bgt porsinya. Nasinya ga terlalu byk, lebih banyak lauknya ketimbang nasinya. Harga sesuai bgtlah pokoknya. TOP!! @sebelasrasa",baik
Ning ndesomu iki @tesalonika_marta,baik
Suara,baik
Wajib cobaaaa🙌,baik
Kok enakkk keliatannyaaaa😍,baik
Bikin ngiler makanannya😍,baik
woww makanannya enak2 nih 😍,baik
enaaaak nihh😍,baik
Mauu cobaaaa🤤🤤,baik
Aaa salpok porsinyaa bisa buat sharing nihh,baik
Jadii pengenn cobaaa😍,baik
Manttaaappp😍,baik
mau saladnyaa 🤤🤤,baik
Porsinya byk bgt ini,baik
"Effort kesini, harganya terjangkau, enak dan porsinya banyakk",baik
Enak niiii,baik
Menggoda lidah,baik
Salad nya keliahan fresh pol😍,baik
Bar2 amat porsinya 🤤,baik
Hidden gems ya ini,baik
Minjem sepeda listriknya,baik
Wahhh recomend nihhh,baik
Endul keknyaa,baik
Endulll,baik
😍😍😍pengenn,baik
Serius ini sehat dan enak,baik
penasarann,baik
Mantul iniii🤤,baik
Aahhh penasaran mau cobak 😍,baik
Mauuu jugaaak,baik
aaa ini enak bgtt,baik
Enakkk ni,baik
aduhh mau bangett,buruk
masok nii,buruk
aaa mauu cobaaaaa,buruk
wiii mau😍,buruk
otwww,buruk
Menarik menarikkk😍,baik
Yaampun ngilerr,buruk
Ngilerrr🔥,buruk
"Baru sekali kesini langsung jatuh cinta, nagih. Vibes nya itu lho, bikin betah makan bareng keluarga.",baik
EH ADA SAYANYA😂,baik
Ada aku sm keluarga kak min.. Udah 2x dan nagih deket lagi,buruk
Mantab 🔥,baik
😍😍,baik
Mantab 👍,baik
Recomended bgt👏,baik
Menunya siiipp.... Sayangnya cuma buka dr sore. Ditunggu bisa buka dr pagi 😍😍,buruk
Kemaren sudah cek tutup😢,buruk
Syenggg @fotografer.solo.jogja,baik
Ayo @na_isnana coba lagi,baik
❤️❤️❤️,baik
Pingin 🫠,baik
Ngeneki ra sih @prdstagrn @ppink_96,buruk
Asikkkkkkkkk ❤️😍,baik
pengen kesini blom jadi² ahhh,baik
kayanyaaa enak bgtt😍😍,baik
at least kalo aku solo ajakin ke sana sii,baik
Aaahhhh ngilerrr,baik
ih mendadak laper,buruk
Berasa makan d rumah😂,baik
Skrg ada playground ya min,baik
Yo sip ... Suk mrunu,buruk
Kerudung biru is that youu @melleniaarta,baik
Yg ni dmn er?,baik
#surakarta #solo #karanganyar #sragen #boyolali #wonogiri #klaten #sukoharjo #soloraya #kulinersolo #solokuliner #kulinersoloraya #visitsolo #wisatasolo #infokulinersolo #jajanansolo #jelajahsolo #agendasolo #exploresolo #kotasolo,baik
Enakkkk..... Aku bawa keluargaku ke sana pas puasa kemarin. Pada suka. 😍 Ada tempat main anak-anak juga. Ponakanku nggak bosan jadinya,baik
Memang enak makanan.nya 🙌 homy tempat.nya🙌,baik
Slice salad is de best ...worth bgt.🔥🔥,baik
😍,baik
Selain enak porsinya jg pas 👍,baik
Tempat makan recommended 5 menit dr rmh..enak & tempatnya nyaman,baik
"Pernah Ke Sana, Rekomended Enak Kbeh Menu'ne 👌👌👌",baik
Dimana ini min,baik
Alamat gk ada,baik
❤️ dapet kaka aku akan lebih baik lagi🥰,baik
Ayok ini yg di cari @yahyaadityarasya,buruk
Ngilerrr banget ini enak semua 😍,baik
Pingin tapi harus ke solo 😛,buruk
Apa iya,baik
Wah kita jadi tetangga desa ki mas saiki😂,baik
ahhh teriakkk buat solooo pengen kesana buat kulineran 😍,baik
Bikin ngiler ih,baik
Bikin laper nih,buruk
Keren banget halaman rumah di sulap jdi resto 😍,baik
Mau coba jugaa nihh😍kesana bareng keluarga,baik
Duh mau kesanaa🙌,buruk
Enak banget lengkap😍,baik
Aaaa mau bangettt,buruk
Wenak-enak pol menunya ya kak😍,baik
Sumpah sehat sehat banget ini makanannya,baik
Ngiler banget makannnya😍,buruk
Semuanya enak2 yah bikin ngilerr,baik
Mau bgt ahh bikin ngilerr😍,baik
Wah kalap aku liat enak,baik
Aduh ngilerr bngettt😍,buruk
wajib mampir kesini ini sih 😍,baik
aa ngiler bgttt makanannyaa😍,baik
😍😍enak banget nih,buruk
kalo ke solo harus mampir sini sihh😍,baik
Wah masuk list kalo ke solo,baik
Enak bgt semua menu2 ini 😍🙌,baik
salad nyo banyak anet,buruk
mau kesolo bgtt😍,baik
Menunyaaa menggoda bgttt😍,baik
duhhh beb bikin ngiler ih😢,buruk
Yaampun mau ke solo makkk😍,baik
Jdi ngiler ih😢,baik
Wiii mau bgt❤,baik
Maw maw maww 😍😍😍,buruk
enak nih ya😍,baik
Wahh mau bgt ❤️,baik
Saved dulu yhaa ini,baik
Lagi laper jadi ngiler mom😂,buruk
Aaaa mau bgt ❤,baik
Sambel mata ny ena bgt,baik
"Wih salad nya menggoda😍😍 ,tp kejauahan atuhh,ntr mau coba bikin ah😍",baik
Wahh ini enak n sehat,baik
Semuanya bikin ngilerrr 😢,buruk
Duhhh jadi ngileeerr nih🤤🤤🤤,buruk
Mau banget kak,baik
Sambel matahnya behhh menggoda bgt,baik
Wahh jd ngilerr nglihat menunyaa😍,baik
Bikin ngilerr pol ini mah😍🔥,buruk
Wah ini klo kesini aku bs pesen semua nih😍,baik
Ngiler bgt pengen 😭,buruk
Sumpehh ngiler banget liat nya😍🤤,buruk
Saladnya menggoda bgt😍,baik
Aa ngiler bangettt toloong😍,buruk
Enak semua ini sih😍,baik
Menunya nampol banget sih ini😍,buruk
Salad nya menggoda bngt😍,baik
Pengen saladnyaa keliatan seger enak bgt dimakan,baik
otw coba jg si😍,baik
Mgilerrr gak kuat mau beli langsung😍,buruk
Nyaman poll sih ini😍,baik
Jadi ngiler sama makanannya😍,buruk
Nanti kalo ke solo mau mampir 😍,baik
Kak ini kenapa enak enak semua yaa 🤤,baik
Boleh dicoba ni enak yahh💕,baik
Savee biar cobain kalo ke solo🩷🩷🩷,baik
Huaaa jd laper aku liat video ini wkwkw,buruk
Healthy bgt jd ga feeling guilty 😍,buruk
Waaa andai ada di balikpapan 😍,baik
Lngkap bngtt menunyaa ya,baik
Ada cabang di Tangerang gk kak?,baik
kalo ke solo wajib si visit mampir sni 😍,baik
Save ah .. nanti ke solo mampir melipir 😍,baik
"Ngilerrrrr, klo main kesana harus mampir deh kayanya iniii",buruk
nyaman banget sih tempat nya kayak di rumah sendiri,baik
Wah banyak banget macam makanannya😍,baik
Wah.. Lezat semua it mom.. Mau icip de,baik
Aduh jadi ngiler mom 😍😍😍,buruk
Makan enak plus sehat😍,baik
Menunya enak semua kak bikin ngiker,baik
Ngiler bgt liat ayam sambal matahnya😍,baik
Bukan tempat untuk diet ya ini,buruk
Auto kalap ya kak liat menunya bnyak dan pasti enak,baik
Wah enak bgt inii jd ngilerrr😍,baik
Kalau aku ke Solo wajib ke sini siih 😍,buruk
Duh enak.enak banget 🤤,buruk
makanannya enak enak bgt😍,baik
Wajib ke sini pas lewat solo😍,baik
Ntar mampir ah kalo ke solo 😍,baik
ngileeeeer. pengen banget kesini,baik
Bikin giler mih😢,buruk
Duhhh save dlu ah,baik
Wahh banyak banget menu nya ya,baik
Duh ngiler banget deh beb,buruk
wah pas banget mau liburan ke solo😍,buruk
Enak enak banget inii,baik
penasaran bgd sama rasanya,baik
Wah klo pulkan wajib kesini aku😍,baik
"Wahhh ngiler, klo ke solo mau coba ini 😍",baik
Ngileeer tp jauh kali😢,baik
Wah lengkap banget; klo ke solo kudu ke sini ❤,baik
Ngeliat ini jd kangen solo,buruk
lengkap banget ya kak varian saladnya😍,baik
❤️cek dm kak,baik
Enakk ini Mimin mauh,baik
Ngiler bgt ihhh😍🔥,baik
Kak @hannaqueen46 pengin iki,buruk
Jauh gak sih dari stasiun Solo balapan ka mau kalau kesini 😍,baik
jadii pengenn 🔥,baik
Mau dong 😍,baik
Puas bgt makan ksini ya 😍,baik
Nnti kapan2 makan ini mau,baik
Udah sampe solo ajaa nih mama Hana 😍,buruk
"Luas juga tempatnya,bersih",baik
kece banget nihh weii,buruk
Nyaman banget ya cafenya,baik
Waa nyaman bgt ni cafe nyaaa,baik
Kaya dirumah vibeny,baik
harga menunyaa murce ga nih beb? 😍,buruk
Waah save dulu ah,baik
Bagus cafenya,baik
Andalan banget ini kak😍,buruk
nyaman banget buat nongki 😍,baik
Jadi betah nongki disitu,baik
Spill harga kak,buruk
"Pas liat lokasi nya ""solo"" nangis bgtt ternyata jauh bgt, kesitu hrs sambil nginep wkwk",baik
Nyaman banget tempatnya 😍,baik
".
.
.

#Day1낮324
#мαяєтpēຖนhƈʊǟռ",baik
Pindah ke kalsel gih restonya😢,baik
".
.
.
.
.
.
.
#𝕃𝕚𝕘𝕙𝕥𝕤𝕆𝕦𝕥장𝕞𝕠𝕧𝕚𝕖레𝕒𝕩𝕝
#hellomarchbekindyz",baik
Save dulu sih ini,baik
Menunya bikin laper banget🔥,buruk
Save dulu ah 😍,baik
Aaa sayang banget jauh Dari tempat ku 😢,buruk
Tmptnya nyaman yah kak🙌🏻,baik
Wahhh asli homeyy bgt,baik
Huwa jadi mau kesini,baik
wah baru tauu malah😍,baik
Asli homey bgt ni❤,baik
Enak bgt ni kalo bawa bocil,baik
Jadi pengen ke sana 😍,baik
sekilas dr luar biasa aja tp cakep juga ni😍,baik
Nyaman bgt ya,baik
Homey banget ini😍,baik
Wah mau main ke Solo 😍,baik
Bisa buat foto2 nih 😍,baik
Penasan ni mau kesini belim kesampean,baik
semua makanannya menggoda euy,baik
Mau juga dong cobain kesini,baik
next kalo ke solo kesini,baik
enak buat nongki ya😍,baik
akuuu solo jugaaa tp baru tau lohhh ada tempat ini,baik
cozy bgt jd mager plg😍,baik
aaaa murce2 yah😍,buruk
Hommyy bgt ya kak 😍,baik
Kalo ke solo aku mau kesini ah,baik
Save dulu ah ini,baik
Waahh boleh lah dicoba 😍,baik
Homey banget tempat nya 😍,baik
Saladnya enaak,baik
Menarik sebagai pecinta salad aku mesti mampir nih😍,baik
Waahh menarik nih 😍,baik
Pengen bgt mampir,baik
Kyknya aku yg gasuka salad bakal suka sih😍,baik
😍😍Banyak bgt varian menu saladnya,baik
Definisi makan salad yg nikmat dan nyaman ini 😍❤,baik
Baru kali ini penasaran sm makanan sehat😆,baik
"sukaaa bgt salad, ngiler deh liatnya😍",baik
Enak nih kak😍😍soon mau cobain,baik
Next list kalo main kesana😍,baik
Haduu yg sehat2 tp enak begini menggoda 😍,baik
Enak nih nyummy 🤤👌,baik
Ngilerrr😫,buruk
Weeehh dimana ini dev?,buruk
Enak bnget 🤩,baik
Aku ga suka sayurann tp pen cobain 😢,buruk
mam sehat 😍,baik
So look yummy 😍😍,baik
Enak nihhh🔥,baik
Enak2 banget keliatannya😍,baik
🤩🤩🤩🙌,baik
"Menunya komplit, pelayanan cepat & ramah” 👏",baik
Menunya variatif dan banyak pilihan salad sayurnya fresh juga... Kemarin saya makan bebek gorengnya gak alot sama sekali karena proses diungkep👍,baik
Enak kayake ini min,baik
Enak.......11/10,baik
Dressing saladnya endull....bebeknya juga juicy...,baik
Dekettt rumah tp blm pernah ksanaaa...puengen eram,buruk
Bisa Qris/debit gak kak?,baik
enaakkkkkkk,baik
maaauuuuuu,buruk
Karo kelurahan kudu itu kmn ya miin infonya doong miin,baik
"Fav ku, melon yakult..",baik
5 menit,baik
Bunda @nieke.ratriana cedak omah yo?😍😍,buruk
mas @cahyo_t_haryono solo mampir mrene,buruk
Oseng telurnya ngga ramah..,buruk
Sedesa tp ko ndak tau yaa 😢 @banyutrimulyo,buruk
Nginep solo trs mampir sini ya yang @91_aha,baik
Info kuliner d deket rs moewardi dong,baik
Deket rmhmu ini @ngbintang @cokbone,baik
Ki ngendi @shinta_yudith,baik
Enakk kayak nya,baik
Rasanya worthit sm blusukannya kah?,baik
Jos nan ki👍👍,baik
Rene yoh sep @septya.chiwa,baik
Adoh karo gonmu ora mbo @him_mawan ?,buruk
Rice bowl e mangkok e lunyuuu🤣🤦,baik
Saladnya mantep...tp bawa dressing/kewpie sendiri aja,baik
Share untuk kisaran harga menu min @solodelicious,baik
"Liat slide 4 aku lgsg deg ingat rmh alm mm ku🥺 sm persis teras ny gini, tiang/pilar ny jg model gini",baik
1mnt dr rmh wkk,buruk
Saladnya enak,baik
apa harus malam itu min,buruk
spil harga,buruk
Lancar2 yo pak @widyoagung ... Ayoo kapan pak @abudonly,buruk
Ayam gorengnya 😋,baik
Sama2 kak,baik
Terima kasih atas kedatangan dan videonya mas 🙏🙏,baik
Alamat jelasnya mana nggih min?,baik
Sering kesana tapi yg terakhir kok porsinya di kurangi jadi dikit banget menurutku dengan harga 30 RB jadi mahal,buruk
Cedak omahmu ki @tesalonika_marta,buruk
🥬🥕🥗🌮,baik
"Sering beli, porsi saladnya jumbo 😂",buruk
Emang enak saladnya 😍,baik
Saus mayonya di salad menurutku kurang banyak sih,buruk
"Bukanya sore ya,, kog ga dari siang",baik
Kayakx asyik juga tempat n menux 👍,baik
Resto na wali murid 😍enak banyak murah,baik
top,baik
Mantap,baik
😍😍😍,baik
Aq dah pernah k sini..minum & mkanannya enak aq suka...recomanded👍,baik
Porsi salad sayurnya bisa buat rame2.. Rasanya enak banget... Recomended utk pejuang diet 😁,baik
👍 aku n anakku udh coba kesana,baik
Wah enak banget iki😍,baik
Subhanallah... terimakasih atas nasehatnya,baik
Bukanya sore ya? Siang apa gak buka brati,baik
Padahal mayan jauh dari solobaru wkwk. Tapi menu menunya rekomended banget. Dan yang paling penting deket dari rumah jadi enak sat set sat set wkwk,baik
Kenapa aku yg rumah disini ga prnh tau 😂🤣 @dewirahmawulan__,buruk
"Maaf saya pernah kesana 🙌 pesanan ngaterin salah tp dah kadung kemaksn sm suami trus berikutnya salah lg krna kan itu buman pesanan kitaakhirnya saya tolak, gak lama di datengin bawa kertas menu dan bilang ""ini pesanannya sesuai yg ditulis lho kak"" dan saya bilang ""itupesanan bukan dr meja ini kak""",buruk
Ada juga sop sapi extra cacing pita wak,baik
Gaskeun @galihgunturgemilang @diandnc @madmamaz dek syef dah kesini beloooom? @syefiraayudia @genttruestories,buruk
Naruto style,baik
Deket gak ini @septianikaa?,buruk
"Ohh iyaa,2 hari yg lalu ke sana,saladnya enak,bebek goreng nya jg enak,",baik
Yok mba @fe_soetanto 😂,buruk
Dl wktu masih di solo ak sring ksni.. emg candu bgt masakan ny. Hmmm jd kangen solo.. udh lama bgt gk ksna.,buruk
"Cuma 1.5km dari rumah, kemarin kesana gara-gara postingan ini, Enak mantap !! ❤️",baik
cantumin min daftar harganya,baik
Ekhem @fauzan_nurh,buruk
Mau coba @margasepty ?,baik
"Yg pasti buat males Solo Baru banyak SPA & Massage, hiburan malamnya, jd gak nyaman tinggal di soba.. ndak ad yg mau ngakat tempat” ini biar lebih di evaluasi & jaga",buruk
Anu..partner kulinerku saiki sibuk .dadi sementara engga sik😢,buruk
Recomended bgd....ownernya ramah parah....sajiannya sehat nikmat...harga pas ....harus bgt balik lagi...saladnya ngangeni wedang bunga talang nya top,baik
"bener , apalagi harganya bener"" sesuai .. apalagi cepet banget pelayanan nya",baik
Knp ga dari dulu ya @rjehann,buruk
Terno rene ak sep @septya.chiwa,baik
❤️,baik
"Di Mbaki yaa , udah pernah kesana dong 😍",baik
Duhhh jadi ngilerrrr 🫠,buruk
Iya betul mbaki aku udh kesana 😊,baik
"rekomen poll, mas nya jg ganteng2😁😁😁😁",buruk
Itu mbaki bkn soba 😭,buruk
Pernah ke sukoharjo tow,baik
Fav 😂😍 @lovelyalvi26 mau nyoba?,baik
Tiwas adoh2...@aliefrizkyshu lha kok......😢,buruk
brpa kav,baik
Adooh meen tak pikir mung kono kui,baik
Mampir dwonggg 😢,buruk
Ayo mrono,baik
Yah @bsetiaji181 cedak omah,buruk
suka kak,baik
"menu nya sama kayak yg di tasikmadu,makan sayur gak perlu jauh2 lagi 😍 tp mslhe ngajak sopo 😢",baik
❤️❤️ td siang baru dr sana. Enak smua.... @widyoagung sukses trs gul (owner),baik
Bunddd 🥺 @kartikachand_,buruk
Kesini yuk ay @_iguntara5,baik
Enak Ki @syamsihartati,baik
Cdahe mbh kudu mas @irul2491,baik
Bisa yok @priswariwina,buruk
😍,baik
Mau cem ni gak @kos.griyakalibogor 😂,buruk
Harus kesini nih😍,baik
yank @achekneggro,buruk
❤️,baik
Mantap👍,baik
Catet pi @evviarum,baik
The best banget....rasanya enak harga murah😍😍😍,baik
"Pernah, dan menyenangkan 🤩👍",baik
Keluyuran malam ini bestieeee @turianggraini @rien_justrien @a.k.u.novita @rienadewii,buruk
gas le @yanutimur @shofiesholikhah cedek omah e @septian.erwin,buruk
mimin sukaaa,baik
Saladnya mantaab.. uakeeeh porsinya,baik
Vegetarian cocok iki😍 #vegan #vegetarian,baik
Gas,baik
Ki daerah cerak soba beb,baik
doyan rak @ariwijayanti92 ngndi ki,buruk
Enak tenan ...mantebs salad dllnya .nggone koncoku ..pulang kon metik kangkung daun slada hidroponik,baik
Ayo bareng 2x ke sana temen2x solo,baik
Bukanya mulai jam brp,buruk
Lg usum klithih,baik
Perlu dicoba pa @eko3anto1984,baik
Spill harga min 😁,buruk
Besok kesana ahhh deket,baik
Yuk pencinta sayur merapat @intansalsa.bi @dindaleoo 😂😂,baik
Kayaknya enk kae de' @arini.rinnn,baik
Sayurnya seger bangett❤️,baik
cedak rumahq,buruk
boleh di coba nii @__n.anisa @wiwien_233,baik
Gara2 diajak anakku makan salad sayur disini nih aku jadi doyan makan salad sayur😂😂😂dan pulangnya dibawain sayur an kangkung organik sekresek😍😍,baik
Ayo bestie @natalie_mrs.leo,buruk
Mau mudik cobain ini terus balik jkt lagi @aurreliia wkwkwkwk,buruk
Gassndaa bunaa @cacawashere,baik
Ini ownernya ruamaah puol. Gak pelit ilmu soal taneman2 juga.,baik
Rela.bgt bikin candu,baik
Mba @hyelenbuya99,buruk
Cobain ini @nabilapputriii,buruk
Alamat mana,baik
Ngendi iki mol @renyyuly,baik
Sini yookk @ariii.kurnia,buruk
Sayang ga buka siang hari😢,buruk
Enak sii pren serius @ariana07022 @latifahrmdni 😍,baik
Duuhhh pengenn....,buruk
gass kesana gratis foto sm yg masak😁,baik
"Lagii dan lagii Adidas sale 70% beb, gasskeunn💃🏻",baik
Pengen Iki @bangkitpriyo_utomo,baik
Yg punya LG ada panenan apa Iki min?soale neg pas jambune berbuah sek beli pada dikasih..matoa Yo enek..kapan kae Aq malah dibawai pulang panenan kangkung hidroponik 😍,buruk
"Nagihi,salad nya memang andalan ,tapi menu yg lain ga kalah mantap 👌",baik
Wah ketok enak mantab,baik
Badalaaah....nilapke😢,buruk
Terima kasih sudah makan malam di sebelas rasa ya kak..,baik
besok plg solo hrs kesni pap @indra.wahyudi77,baik
Loh lohh harus e ketemu kita yaa😂,baik
salad nya seger bgt,baik
jujurr pencinta salad wajib cobain inii,baik
mantep bangett tempatnya,baik
GOKILLLL,buruk
saladnyaa 10/10,baik
tempatnya buat kumpul bareng keluarga rekomend banget si🤙,baik
jadi pengen kesini lagi deh🥲,baik
paling suka salad nya 😭,baik
Baki nya sebelah mana kak?,baik
Mantap kak👍,baik
Duh enak kui salad mas,buruk
👏👏👏,baik
Seger saladnya😍,baik
Bolehhh yukkkk,baik
masuk list😍,baik
T4 pasny d mna kak,buruk
Sukoharjo anjir udu solo😭,buruk
Minat ra john salad sayur favorite mu hlo 😆 @silviaseptyaningsih cdak nggonmu sisan mbakii,baik
Dadi pengen runu,baik
Kesukaanku salad kebab endull,baik
Ayo ksini @ambangcw @senjaning7869,baik
Mulai buka jam brapa?,buruk
Pas ya Dmn njih,baik
Baki????? Lahhhh gimana aku gak tahu ada tempat makan sehat ini? Deket rumah padahal,buruk
"pas neng seruni, kayane seru di gofood @andi_hermawan_89 @silvia_kusumaningrum89",baik
Salam dr solo.. deket rumah aku itu 😍,baik
Sini yukkk @andi_jaff,baik
"Di Solo??? Solo Sama Sukoharjo beda bosss, Solo itu Kota, Sukoharjo Kabupaten.",buruk
Dmn nihhh,baik
Gass bos @theodoric.setiawan,buruk
Baki kab Sukoharjo...mo kearah Daleman,baik
Hydroponics itu organic ya ?😂,baik
Badabest ini saladnya.... Menunya baanyak & tempatnya nyaman. Pokoke wajib disatronin👌🏻👌🏻👌🏻 #bisa belajar berkebun juga sama ownernya🤗,baik
"Minta tolong spill harganya maszzzeeehhh, biar bisa menyesuaikan sangune hehe",baik
Kemeruh,buruk
Hm kapan kesitu y,buruk
"Baki min,,, Dudu solo😂",buruk
Gass,baik
Gasss @hendriagung96,buruk
"Pernah kesini, dibonusin ownernya suruh ambil kangkung sepuasnya 😂",buruk
Mantul saladnya plus minumanny lingzi,baik
Joss.. kapan2 di coba,baik
Nyoba mbk @asyfadianna29 😅,buruk
enak mas aku tau rono Karo ponakanku,baik
"Mantap👏, harus diagendakan kalau yang sehat²seperti ini.",buruk
Ayo pecinta salad kita makan kesini @pabrianalarasati @kiranasekha,baik
LOKASI DIMANA MIN,baik
Lokasi tepat nya dmn ya?,baik
Sorry organik sama hidroponik itu beda ya.,buruk
Salad hidroponik lebih tepatnya 😁,baik
Ayo nyobain @dhimasyogantara89,baik
Bakinya sblh mana.. Rmhku jg baki tp ga tau,buruk
Mantap banget rasanya👍👍,baik
udah pernah kesini sir? @iankrishnanda,baik
"Tempatnya ngumpet, tapi homey. Ga berasa lagi makan di resto, kek makan sama keluarga di rumah wkwk😂",baik
Mbak @noeroeldjariyah ayo kesini😍😍😍,baik
Ayo deket nih @akuikuika @_ranrania,baik
itu sukoharjo,buruk
Ga lagi dah.. nunggu makanannya lama buanget,buruk
Mengharumkan nama baki,buruk
Lambungku perih rasanya kecuuutttt 😮,buruk
👏Es duren memang joss...,buruk
Enak bgt pen coba 🤤,baik
Ini di baki daerah saya min..👏👏👏..ndelik tp ngga ngecewain kan min..?😍,baik
Iki ngendi panggone mas ? 😁 @anang8874,buruk
La omah q baki tapi aq ga ruh i,baik
Dirimu gawe ngene po ra josd mbak.. @devi_rosita_isnien_,buruk
hidroponik kok organik #heran.,baik
Langganan mu... @merry_nugrho,baik
Dimana letaknya? Buka jam brp?,baik
Pingin ke sini😍,baik
Baki sukoharjo,baik
Baru tahu baki tu ternyata masuk solo,buruk
Lokasi pas nya berarti di kudu ya? Sama baldes mananya ya? Saya di kwarasan,buruk
lehh cedak omahku masak rangeti😢,buruk
Recommended bgt👏👏👏udh sering ketemu sm yg punya resto,baik
Rene Yo mi @unun_abriel,baik
Baru aja ak kesini recommended sekali mantap,baik
Solonya dimn to,buruk
Info lokai min,baik
Bisa QRIS ga ya disini,baik
Nemu pas ra oleh maem 😢 @nurcahyoadetya,buruk
Nama tempatnta apa ya .. maaf ga nemu di reel.. apa terlewat ya ?,buruk
Mbakine ngendi mas,baik
Great place 🔥,baik
Lokasinya dimana kasih alamatnya,baik
❤️,baik
Mak @naluria_ika mana ni dr tempet mu,buruk
baki sukoharjo mas bukan solo,baik
cocok @mirzananda_ perlu d coba?,buruk
Mahal,baik
"Sdh pernah nyoba.. Rasanya Pas dilidah.. Ada saran.. Snack camilannya pakai yg kukus/ rebus Doong.. Misal 🥜 Rebus, Edamame kukus dll.. Trimakasih.. Semoga semakin Sukses..",baik
Mana nih kak @ichaarrrrgg,buruk
Dimana cepet bgt baki sebelah mana,baik
Kok koyo mas al tah? @abcdhunu,buruk
Enak ta,baik
"salad nya yg bikin menggiur ini, cakep juga warna nya",baik
cikkkkkkkkk @oyiieent,baik
nyoba Iki 🤤 @wulan.eko.35,baik
"gaezz @eliz.varo @anggitafilans mosok enek ngeneki neng baki,,suk gaazz yoh",baik
Dari rumah cuman 7 menit wkwkw,baik
Cedak kost ku ternyata😮lg ngerti,buruk
Mantap ini,baik
"Kudu, Baki, Sukoharjo. Bukan Solo Min 🙏🏻",baik
❤️,baik
Pgn tp kok ndadak tekan omahmu @elyanrb,buruk
❤️,baik
"Salad dressing ga enek, dan yg ga suka mayonaise Bisa ganti minyak wijen, dan Saladnya fresh keseluruhan rasa enak, tempatnya adem kayak dirumah sendiri. 👍👍",baik
Maap ya kak yaa… hidroponik bukan organik yaa🙏😅,buruk
"Sedikit ralat,...itu tempatnya masih di Sukoharjo bang,bukan solo",buruk
Kie cedhak omahku tp ko mlh reti saka kene 🤭,buruk
