Comment,Sentiment
@rumahkunosoloindonesia harus coba,baik
Mwantaabbbbb,buruk
@dzanimufidah maknyuss,buruk
Favoritttt,baik
@dahliasp tossss🙌,buruk
sukohardjo manakah?,baik
Dulu pernah kesini tp bukanya sore sedangkan klo sore suami ga bisa jadi kita cuma duduk bentar doank disitu wkkwkkk.. Btw seladanya mereka tanam sendiri di pekarangan rumah,baik
"Langganan ku ini, the besttt..",baik
"Dah Beberapa kali ke Sana Ko, Cmn Wkt itu buka'nya sore jam 17.00 Skrg Kt'nya udh buka dr Siang. Next Gas Neh Ko... Soale Terfavo Byaat Hehehe...",baik
Recumended🙌,baik
"Sayang iklan saja, share loc ku datangi",buruk
Alamat nya mana,baik
Aku udah pernah kesini sama ayang 😍,baik
udah bukak pagi ya kak sekarang..?😍,buruk
@ririn.hermawati iya kk,baik
@hunter.kuliner Siipp..besok gaass..😍,baik
@ririn.hermawati siapp kk langsung di gaskeennn🙌,baik
Ini fav aku,baik
@dahliasp mantappp,buruk
Seger seger banget menu nya,baik
Ini kenyang bngt wlo sayur,buruk
Seger ijoo 💚💚💚,baik
@mantan.chefs uweenakkk langsung coba ken,baik
Yummy,baik
Ki ancen tob pol,buruk
@jonyrahardja bener banget...best,baik
Wenak 😍😍,baik
@kliksolo TOP TENAN besti 🔥👏,baik
Beneran enak sih 🔥🔥,baik
@zilizi16 TOP DI KELASNYA 🔥👏,baik
Kesini yok 😢 @zilizi16,buruk
@delia_arimurti benjir gassss sih,buruk
Uenak nya,buruk
@kedaisembako_tbalai cuss kak cobain,buruk
Sehat teninnn cocok buat diet,baik
@jonyrahardja bener banget ko 😍👏,baik
Cocok nih 😍,baik
"Sdh Beberapa Kali ke Sana, Cmn Sayang'nya buka'nya Sore. Berharap Buka dr Siang 🤭",baik
@desi3_dt Yess!!! Hehehe...,buruk
@mimijelitaimut mulai hari ini kami buka mulai jam 10.30 -21.00 ya kaa.....silakan,baik
"@sebelasrasa Wuizz... Bneran, Alhmdlillah Soal'nya klo Siang Aq sll Maen ke Daerah Soba. Next Pasti Gas Bt Mkn Siang. Mksh ya Ka' Atas Info'nya 👍🙏",buruk
"Menunya Enak2 dan semua fresh🫶🏻, aku sudah pernah nyoba.. yang punya bocil ada playgroundnya juga❤️",baik
Wah penasaran pol save dlu,baik
"@rachelanggraini_ enak mbaa, harus coba",baik
spill harga2 kk,buruk
@putri.arms salad start 22-30k kak tergantung topping apa,buruk
Enak semuanya🤤,baik
The bestt...udh pernah nyobain❤️,baik
Salad nya best,baik
Ngiler,buruk
@dininnnn_ 😮😮,buruk
@dininnnn_ 😮😮,buruk
@sholut_169,buruk
Baguss banget tempatnyaaa🔥,baik
Enak 😍,baik
Syahduu kak 😍🍃,buruk
Kepoooooo deh,baik
Ini enakkk bgt,baik
Ketok enak ki🔥🔥,baik
"Pernah kesini, porsinya uakeh pol",buruk
Baru tau ada resto salad,baik
Wahhh mantapppp🔥😍,baik
@arifkurr @endahaibara pgn kesini 🤭,buruk
@dyah_ummu_jundi ayook,baik
@maaaratuss,buruk
Endesss ini mah......rasa yg patut dicobaaa,buruk
"tanya dulu ya, misal viral terus ramai, jaminan kualitas rasanya sama ndk ya? yg sudah2 sih viral terus asal aja masaknya, jadi cm numpang lewat saja bukan menjadi langganan dikemudian hari",buruk
Owner nya baik 😊,baik
"Sepertinya mak nyus, tapi sayang rame nya gak karuan ya ? mikir2 lagi berarti 😅",buruk
50 meter dari rumah orang tuaku ini😮,buruk
Recommended 👍👍,baik
Dimana bro lokasi nya gua tertarik ni,buruk
Info kak @sutarto_dwis,baik
Mampir ke @bakmi_pakbagongbaturan .itu jg teras rumah di sulap jd warung bakmi🔥,baik
@novitacahyani201,buruk
"Worth it bgt ini. Porsinya buat saya yg lagi pengen bulky, pas bgt porsinya. Nasinya ga terlalu byk, lebih banyak lauknya ketimbang nasinya. Harga sesuai bgtlah pokoknya. TOP!! @sebelasrasa",baik
@hendra_nc wait! Saya ga diendorse hlo ya gaes. Real testimonial ini.,buruk
@hallo_11178,baik
@aghofur88 hooh kak wes reti aku kui metu ng berandaku,buruk
@dinda_mamaditan,buruk
"@ririowll iki nggone budi ,woll @budi_tiara",baik
@m.taufikhimawan hayukkkkk ksana...,buruk
@keyzhaalyc_,buruk
Ning ndesomu iki @tesalonika_marta,baik
Suara,baik
Wajib cobaaaa🙌,baik
@miyanatara iya kak kids friendly,baik
Kok enakkk keliatannyaaaa😍,baik
@meitadinaiff beneran enakkk😍,baik
Bikin ngiler makanannya😍,baik
@nyuun2 siniii main solo🔥,buruk
woww makanannya enak2 nih 😍,baik
@_ataaaaa salad sayur nya bestt ini😍👏,baik
enaaaak nihh😍,baik
Mauu cobaaaa🤤🤤,baik
@karinaisty.k referensi salad date😂,baik
Aaa salpok porsinyaa bisa buat sharing nihh,baik
@mfth_nd iyups mana gk pahit samsek👏,buruk
Jadii pengenn cobaaa😍,baik
@ronaadzkiasyaa gas yuu ka👏,baik
Manttaaappp😍,baik
@yetinurfa sini kesolo kaaaa,buruk
mau saladnyaa 🤤🤤,baik
Porsinya byk bgt ini,baik
@liburanpertama dan murah👏,baik
"Effort kesini, harganya terjangkau, enak dan porsinya banyakk",baik
"@manganterus.le iyakan mas, enak lagi",baik
Enak niiii,baik
@novelinakusuma_ setuju❤️,baik
Menggoda lidah,baik
@sintadhilaaaa kalap😂,buruk
Salad nya keliahan fresh pol😍,baik
"@mbakbulee iya bener ka, fresh langsung dri petani sekitar kampung😍",baik
Bar2 amat porsinya 🤤,baik
@madebyandni murah juga kaaa,baik
Hidden gems ya ini,baik
@kesanakesini_id iyaaa kakk masuk gang2😂,buruk
Minjem sepeda listriknya,baik
@jonyrahardja gratisssss lageee,baik
Wahhh recomend nihhh,baik
@irmantaopik top😍🔥,baik
Endul keknyaa,baik
@nurainihening enak beneran kaaa,baik
Endulll,baik
😍😍😍pengenn,baik
Serius ini sehat dan enak,baik
penasarann,baik
Mantul iniii🤤,baik
Aahhh penasaran mau cobak 😍,baik
Mauuu jugaaak,baik
aaa ini enak bgtt,baik
Enakkk ni,baik
aduhh mau bangett,buruk
masok nii,buruk
aaa mauu cobaaaaa,buruk
wiii mau😍,buruk
otwww,buruk
Menarik menarikkk😍,baik
Yaampun ngilerr,buruk
Ngilerrr🔥,buruk
@ericha_nl,buruk
@fariz.tailor_jasblazer.mbahman,baik
"Baru sekali kesini langsung jatuh cinta, nagih. Vibes nya itu lho, bikin betah makan bareng keluarga.",baik
@sitadwija mantaps 😂,buruk
EH ADA SAYANYA😂,baik
Ada aku sm keluarga kak min.. Udah 2x dan nagih deket lagi,buruk
Mantab 🔥,baik
@hargamenu.solo ✨✨,baik
😍😍,baik
Mantab 👍,baik
@ahmd.rzlld,buruk
@ikyypratiwi gaskeun ka,buruk
@eleanaputriiii,buruk
@zeehanamira gaskeun cuy,buruk
Recomended bgt👏,baik
Menunya siiipp.... Sayangnya cuma buka dr sore. Ditunggu bisa buka dr pagi 😍😍,buruk
Kemaren sudah cek tutup😢,buruk
Syenggg @fotografer.solo.jogja,baik
@prdstagrn iki wae seng cedak ayuh @ppink_96 @tifahlaa,buruk
Ayo @na_isnana coba lagi,baik
@inana_wati ayok kapan 😁,buruk
@na_isnana menunggu longgarnya 😂,buruk
@muhammadirvans__,buruk
@saya_mab,buruk
@puri._cendana_ningrum,buruk
@dodit.stwn_,buruk
@atauliaa_ ngiler,buruk
@_fikrisetyawan yukkkk,baik
❤️❤️❤️,baik
Pingin 🫠,baik
Ngeneki ra sih @prdstagrn @ppink_96,buruk
"@rinahondasolo iyo mak, ini versi sukoharjo 😂",buruk
@johanes_adi_chris kita tercyduk🤭,buruk
@fitriasulistyowati 😂😂,buruk
@abigailasaa,buruk
@tiaraa.sukmaa bar gajian ya,baik
@mu_thik @riskidewin @mrtha.ndr,baik
Asikkkkkkkkk ❤️😍,baik
pengen kesini blom jadi² ahhh,baik
kayanyaaa enak bgtt😍😍,baik
at least kalo aku solo ajakin ke sana sii,baik
Aaahhhh ngilerrr,baik
ih mendadak laper,buruk
@ilma.gemini,buruk
Berasa makan d rumah😂,baik
Skrg ada playground ya min,baik
"@siska.mirawati iya kak, sekarang ada playground sama buku bacaan juga 😍",baik
Yo sip ... Suk mrunu,buruk
@zaen.mahmudi mantap 😍,baik
@rellyanggraeni ayok pak kapan kesini beb,baik
"@umycuplies gass beb yok, ini deket beb",buruk
@lisiasuryadewi ehemmmm,buruk
Kerudung biru is that youu @melleniaarta,baik
Yg ni dmn er?,baik
@talisa.kitchen sebelasrasa mbakkk...baki😁,baik
#surakarta #solo #karanganyar #sragen #boyolali #wonogiri #klaten #sukoharjo #soloraya #kulinersolo #solokuliner #kulinersoloraya #visitsolo #wisatasolo #infokulinersolo #jajanansolo #jelajahsolo #agendasolo #exploresolo #kotasolo,baik
Enakkkk..... Aku bawa keluargaku ke sana pas puasa kemarin. Pada suka. 😍 Ada tempat main anak-anak juga. Ponakanku nggak bosan jadinya,baik
@linapermata1702 betul bgt kaa....bisa jadi langganan nih..,buruk
Memang enak makanan.nya 🙌 homy tempat.nya🙌,baik
@ajikkunawan betul bgt ka....cocok bgt untuk tempat makan keluarga,baik
Slice salad is de best ...worth bgt.🔥🔥,baik
😍,baik
Selain enak porsinya jg pas 👍,baik
@nining__18 utk hrg menu gmn sis...👏,buruk
@yohanatririyani Standar sus...,buruk
@nining__18 oke trmksih sis tuk infonya👏,baik
Tempat makan recommended 5 menit dr rmh..enak & tempatnya nyaman,baik
"Pernah Ke Sana, Rekomended Enak Kbeh Menu'ne 👌👌👌",baik
Dimana ini min,baik
Alamat gk ada,baik
"@titikpur0 RT.02/RW.02, Kudu, Kec. Baki, Kabupaten Sukoharjo, Jawa Tengah 57556 ini kaa...bisa juga cek gmap ""Sebelas Rasa""",buruk
@rinimulyani5 @suprihatin6752,buruk
@rias_sekarasih gas yok🤭siap inpo2,buruk
@rinimulyani5 😍,buruk
@_rollarolla,buruk
❤️ dapet kaka aku akan lebih baik lagi🥰,baik
Ayok ini yg di cari @yahyaadityarasya,buruk
"@brayenmanuel_ mari kak, ditunggu kedatangannya",baik
@brayenmanuel_ ayukk gass kak😍,buruk
Ngilerrr banget ini enak semua 😍,baik
"@jogjaestetikasik seger2 kak sayurnya, baru kali ini ak jadi doyan sayur😍",baik
Pingin tapi harus ke solo 😛,buruk
@elisabethkusdaryanti gass dah 😍😍😍,buruk
Apa iya,baik
Wah kita jadi tetangga desa ki mas saiki😂,baik
@theodoradian_,buruk
ahhh teriakkk buat solooo pengen kesana buat kulineran 😍,baik
Bikin ngiler ih,baik
Bikin laper nih,buruk
Keren banget halaman rumah di sulap jdi resto 😍,baik
Mau coba jugaa nihh😍kesana bareng keluarga,baik
Duh mau kesanaa🙌,buruk
Enak banget lengkap😍,baik
Aaaa mau bangettt,buruk
Wenak-enak pol menunya ya kak😍,baik
Sumpah sehat sehat banget ini makanannya,baik
Ngiler banget makannnya😍,buruk
Semuanya enak2 yah bikin ngilerr,baik
Mau bgt ahh bikin ngilerr😍,baik
Wah kalap aku liat enak,baik
Aduh ngilerr bngettt😍,buruk
wajib mampir kesini ini sih 😍,baik
aa ngiler bgttt makanannyaa😍,baik
😍😍enak banget nih,buruk
kalo ke solo harus mampir sini sihh😍,baik
Wah masuk list kalo ke solo,baik
Enak bgt semua menu2 ini 😍🙌,baik
salad nyo banyak anet,buruk
mau kesolo bgtt😍,baik
Menunyaaa menggoda bgttt😍,baik
duhhh beb bikin ngiler ih😢,buruk
Yaampun mau ke solo makkk😍,baik
Jdi ngiler ih😢,baik
Wiii mau bgt❤,baik
Maw maw maww 😍😍😍,buruk
enak nih ya😍,baik
Wahh mau bgt ❤️,baik
Saved dulu yhaa ini,baik
Lagi laper jadi ngiler mom😂,buruk
Aaaa mau bgt ❤,baik
Sambel mata ny ena bgt,baik
"Wih salad nya menggoda😍😍 ,tp kejauahan atuhh,ntr mau coba bikin ah😍",baik
Wahh ini enak n sehat,baik
Semuanya bikin ngilerrr 😢,buruk
Duhhh jadi ngileeerr nih🤤🤤🤤,buruk
Mau banget kak,baik
Sambel matahnya behhh menggoda bgt,baik
"@yunika.fedianti mari kak, sambal matah kami seger banget loh, favorit para sobat rasa 😍",baik
Wahh jd ngilerr nglihat menunyaa😍,baik
Bikin ngilerr pol ini mah😍🔥,buruk
Wah ini klo kesini aku bs pesen semua nih😍,baik
Ngiler bgt pengen 😭,buruk
Sumpehh ngiler banget liat nya😍🤤,buruk
Saladnya menggoda bgt😍,baik
Aa ngiler bangettt toloong😍,buruk
Enak semua ini sih😍,baik
Menunya nampol banget sih ini😍,buruk
Salad nya menggoda bngt😍,baik
Pengen saladnyaa keliatan seger enak bgt dimakan,baik
otw coba jg si😍,baik
Mgilerrr gak kuat mau beli langsung😍,buruk
Nyaman poll sih ini😍,baik
Jadi ngiler sama makanannya😍,buruk
Nanti kalo ke solo mau mampir 😍,baik
Kak ini kenapa enak enak semua yaa 🤤,baik
Boleh dicoba ni enak yahh💕,baik
Savee biar cobain kalo ke solo🩷🩷🩷,baik
Huaaa jd laper aku liat video ini wkwkw,buruk
Healthy bgt jd ga feeling guilty 😍,buruk
Waaa andai ada di balikpapan 😍,baik
Lngkap bngtt menunyaa ya,baik
Ada cabang di Tangerang gk kak?,baik
kalo ke solo wajib si visit mampir sni 😍,baik
Save ah .. nanti ke solo mampir melipir 😍,baik
"Ngilerrrrr, klo main kesana harus mampir deh kayanya iniii",buruk
nyaman banget sih tempat nya kayak di rumah sendiri,baik
Wah banyak banget macam makanannya😍,baik
Wah.. Lezat semua it mom.. Mau icip de,baik
Aduh jadi ngiler mom 😍😍😍,buruk
Makan enak plus sehat😍,baik
Menunya enak semua kak bikin ngiker,baik
Ngiler bgt liat ayam sambal matahnya😍,baik
Bukan tempat untuk diet ya ini,buruk
"@nurulizma28 bisa kak, kita ada menu basic salad menggunakan telur omega 3",baik
Auto kalap ya kak liat menunya bnyak dan pasti enak,baik
Wah enak bgt inii jd ngilerrr😍,baik
Kalau aku ke Solo wajib ke sini siih 😍,buruk
Duh enak.enak banget 🤤,buruk
makanannya enak enak bgt😍,baik
Wajib ke sini pas lewat solo😍,baik
Ntar mampir ah kalo ke solo 😍,baik
ngileeeeer. pengen banget kesini,baik
Bikin giler mih😢,buruk
Duhhh save dlu ah,baik
Wahh banyak banget menu nya ya,baik
Duh ngiler banget deh beb,buruk
wah pas banget mau liburan ke solo😍,buruk
Enak enak banget inii,baik
penasaran bgd sama rasanya,baik
Wah klo pulkan wajib kesini aku😍,baik
"Wahhh ngiler, klo ke solo mau coba ini 😍",baik
Ngileeer tp jauh kali😢,baik
Wah lengkap banget; klo ke solo kudu ke sini ❤,baik
Ngeliat ini jd kangen solo,buruk
lengkap banget ya kak varian saladnya😍,baik
❤️cek dm kak,baik
@agentelursolo tidak ada dm dr kaka 😁,buruk
Enakk ini Mimin mauh,baik
Ngiler bgt ihhh😍🔥,baik
Kak @hannaqueen46 pengin iki,buruk
@lovely_lia_1991 kapan.???,buruk
"@lovely_lia_1991 @hannaqueen46 mari kak, kami tunggu kedatangannya 🙌",baik
Jauh gak sih dari stasiun Solo balapan ka mau kalau kesini 😍,baik
jadii pengenn 🔥,baik
Mau dong 😍,baik
Puas bgt makan ksini ya 😍,baik
Nnti kapan2 makan ini mau,baik
Udah sampe solo ajaa nih mama Hana 😍,buruk
@maenyoel 😁,buruk
"Luas juga tempatnya,bersih",baik
kece banget nihh weii,buruk
Nyaman banget ya cafenya,baik
Waa nyaman bgt ni cafe nyaaa,baik
Kaya dirumah vibeny,baik
harga menunyaa murce ga nih beb? 😍,buruk
Waah save dulu ah,baik
Bagus cafenya,baik
Andalan banget ini kak😍,buruk
nyaman banget buat nongki 😍,baik
Jadi betah nongki disitu,baik
Spill harga kak,buruk
"Pas liat lokasi nya ""solo"" nangis bgtt ternyata jauh bgt, kesitu hrs sambil nginep wkwk",baik
Nyaman banget tempatnya 😍,baik
".
.
.

#Day1낮324
#мαяєтpēຖนhƈʊǟռ",baik
Pindah ke kalsel gih restonya😢,baik
".
.
.
.
.
.
.
#𝕃𝕚𝕘𝕙𝕥𝕤𝕆𝕦𝕥장𝕞𝕠𝕧𝕚𝕖레𝕒𝕩𝕝
#hellomarchbekindyz",baik
Save dulu sih ini,baik
Menunya bikin laper banget🔥,buruk
Save dulu ah 😍,baik
Aaa sayang banget jauh Dari tempat ku 😢,buruk
Tmptnya nyaman yah kak🙌🏻,baik
Wahhh asli homeyy bgt,baik
Huwa jadi mau kesini,baik
wah baru tauu malah😍,baik
Asli homey bgt ni❤,baik
Enak bgt ni kalo bawa bocil,baik
Jadi pengen ke sana 😍,baik
sekilas dr luar biasa aja tp cakep juga ni😍,baik
Nyaman bgt ya,baik
Homey banget ini😍,baik
Wah mau main ke Solo 😍,baik
Bisa buat foto2 nih 😍,baik
Penasan ni mau kesini belim kesampean,baik
semua makanannya menggoda euy,baik
Mau juga dong cobain kesini,baik
next kalo ke solo kesini,baik
enak buat nongki ya😍,baik
akuuu solo jugaaa tp baru tau lohhh ada tempat ini,baik
cozy bgt jd mager plg😍,baik
aaaa murce2 yah😍,buruk
Hommyy bgt ya kak 😍,baik
Kalo ke solo aku mau kesini ah,baik
Save dulu ah ini,baik
Waahh boleh lah dicoba 😍,baik
Homey banget tempat nya 😍,baik
"@dedeksusanto berasa di kampung halaman ya kak, yuk mampir kesini 😍",baik
Saladnya enaak,baik
@jurnal_jajan_jojo semoga bisa jadi langganan terus ya kak 🙌,baik
Menarik sebagai pecinta salad aku mesti mampir nih😍,baik
"@angieflourina wajib dong kak, kami tunggu ya😍",baik
Waahh menarik nih 😍,baik
Pengen bgt mampir,baik
Kyknya aku yg gasuka salad bakal suka sih😍,baik
@balejourney wajib banget nyobain kak kalo di solo 😠,baik
@sebelasrasa siap noted dulu min buat kalo trip ke solo nanti,baik
😍😍Banyak bgt varian menu saladnya,baik
Definisi makan salad yg nikmat dan nyaman ini 😍❤,baik
Baru kali ini penasaran sm makanan sehat😆,baik
"sukaaa bgt salad, ngiler deh liatnya😍",baik
Enak nih kak😍😍soon mau cobain,baik
Next list kalo main kesana😍,baik
Haduu yg sehat2 tp enak begini menggoda 😍,baik
Enak nih nyummy 🤤👌,baik
Ngilerrr😫,buruk
Weeehh dimana ini dev?,buruk
Enak bnget 🤩,baik
Aku ga suka sayurann tp pen cobain 😢,buruk
mam sehat 😍,baik
So look yummy 😍😍,baik
Enak nihhh🔥,baik
Enak2 banget keliatannya😍,baik
🤩🤩🤩🙌,baik
"Menunya komplit, pelayanan cepat & ramah” 👏",baik
Menunya variatif dan banyak pilihan salad sayurnya fresh juga... Kemarin saya makan bebek gorengnya gak alot sama sekali karena proses diungkep👍,baik
@erma_agus.kristiana,baik
@ixcha_gaozhan @queenbella9522 yen ika dijak rene..cocokkkk ikihhhh,buruk
Enak kayake ini min,baik
Enak.......11/10,baik
Dressing saladnya endull....bebeknya juga juicy...,baik
Dekettt rumah tp blm pernah ksanaaa...puengen eram,buruk
Bisa Qris/debit gak kak?,baik
enaakkkkkkk,baik
maaauuuuuu,buruk
Karo kelurahan kudu itu kmn ya miin infonya doong miin,baik
@potterindra,buruk
"Fav ku, melon yakult..",baik
@doa_reztu nggone tonggomu mas,buruk
@s_aji_s cedak omah mu to ? Jak aku rene lah,buruk
5 menit,baik
Bunda @nieke.ratriana cedak omah yo?😍😍,buruk
@aaneviliaferiantoro gaske kak,buruk
@abuakhtarsyah,buruk
mas @cahyo_t_haryono solo mampir mrene,buruk
Oseng telurnya ngga ramah..,buruk
Sedesa tp ko ndak tau yaa 😢 @banyutrimulyo,buruk
@nry_dewi,buruk
@kikiamels @weeywaweey harus cobain ini,baik
Nginep solo trs mampir sini ya yang @91_aha,baik
@rosianadiva @skolastikaellen @yogiputraaa_06 ngerti ora guys?,buruk
Info kuliner d deket rs moewardi dong,baik
Deket rmhmu ini @ngbintang @cokbone,baik
Ki ngendi @shinta_yudith,baik
Enakk kayak nya,baik
Rasanya worthit sm blusukannya kah?,baik
Jos nan ki👍👍,baik
Rene yoh sep @septya.chiwa,baik
"@alfiaisn lho mung baki yull,kudune gass😂",buruk
Adoh karo gonmu ora mbo @him_mawan ?,buruk
@andry_tjah_bagoes,buruk
@shiva_latifa wingi gak ngajak rene?,buruk
Rice bowl e mangkok e lunyuuu🤣🤦,baik
@vitasibuan,buruk
Saladnya mantep...tp bawa dressing/kewpie sendiri aja,baik
@sofya_admajha,buruk
Share untuk kisaran harga menu min @solodelicious,baik
"Liat slide 4 aku lgsg deg ingat rmh alm mm ku🥺 sm persis teras ny gini, tiang/pilar ny jg model gini",baik
"@ahmad_kailani next, kita coba ayam lengkuasnya Kai 😂",baik
@septina2987,buruk
1mnt dr rmh wkk,buruk
@adhit_roses,buruk
Saladnya enak,baik
@andininovianita cedak omah ga sih,buruk
@queenbella9522,buruk
apa harus malam itu min,buruk
spil harga,buruk
Lancar2 yo pak @widyoagung ... Ayoo kapan pak @abudonly,buruk
@aghmaheswari,buruk
Ayam gorengnya 😋,baik
@rasikachan catet sek ben ga bingung golek maem,buruk
Sama2 kak,baik
Terima kasih atas kedatangan dan videonya mas 🙏🙏,baik
Alamat jelasnya mana nggih min?,baik
Sering kesana tapi yg terakhir kok porsinya di kurangi jadi dikit banget menurutku dengan harga 30 RB jadi mahal,buruk
@yogabudhiarta yuk kesini,baik
Cedak omahmu ki @tesalonika_marta,buruk
🥬🥕🥗🌮,baik
"Sering beli, porsi saladnya jumbo 😂",buruk
Emang enak saladnya 😍,baik
@eleanaputriiii,buruk
Saus mayonya di salad menurutku kurang banyak sih,buruk
@nafisasyhd,buruk
"Bukanya sore ya,, kog ga dari siang",baik
Kayakx asyik juga tempat n menux 👍,baik
Resto na wali murid 😍enak banyak murah,baik
@ilhamsatriia_ jre meh ngejak ren,baik
top,baik
@annierofiah @whsetyarini @idafatmawati99,buruk
Mantap,baik
@masbangunpurnomo,buruk
😍😍😍,baik
Aq dah pernah k sini..minum & mkanannya enak aq suka...recomanded👍,baik
@eniienull,buruk
@cyintiapurnama @wanitasexysekali,buruk
Porsi salad sayurnya bisa buat rame2.. Rasanya enak banget... Recomended utk pejuang diet 😁,baik
👍 aku n anakku udh coba kesana,baik
Wah enak banget iki😍,baik
@ptryokta @castielkrisdiyanto ssuk gas rno,buruk
Subhanallah... terimakasih atas nasehatnya,baik
Bukanya sore ya? Siang apa gak buka brati,baik
Padahal mayan jauh dari solobaru wkwk. Tapi menu menunya rekomended banget. Dan yang paling penting deket dari rumah jadi enak sat set sat set wkwk,baik
Kenapa aku yg rumah disini ga prnh tau 😂🤣 @dewirahmawulan__,buruk
@aditrandyh loh deket dong,baik
@andrimstf ayo kesiniiiiiii,buruk
@hab_amr,buruk
"Maaf saya pernah kesana 🙌 pesanan ngaterin salah tp dah kadung kemaksn sm suami trus berikutnya salah lg krna kan itu buman pesanan kitaakhirnya saya tolak, gak lama di datengin bawa kertas menu dan bilang ""ini pesanannya sesuai yg ditulis lho kak"" dan saya bilang ""itupesanan bukan dr meja ini kak""",buruk
@natalia_soehodo,baik
@arofafah,buruk
Ada juga sop sapi extra cacing pita wak,baik
@om.pens catet pak,baik
@dije_arif,buruk
Gaskeun @galihgunturgemilang @diandnc @madmamaz dek syef dah kesini beloooom? @syefiraayudia @genttruestories,buruk
Naruto style,baik
Deket gak ini @septianikaa?,buruk
@dlusiaa_,buruk
"Ohh iyaa,2 hari yg lalu ke sana,saladnya enak,bebek goreng nya jg enak,",baik
@atcocta,baik
@sn4pcc @111967.jpg @njelyiy,buruk
@splitofmars @ddumptrashx @bubbsaa,buruk
Yok mba @fe_soetanto 😂,buruk
@sillvymarlina &@gals.99 ...yuuk kapaaann..😁🥰,baik
@cayoo_adi,buruk
Dl wktu masih di solo ak sring ksni.. emg candu bgt masakan ny. Hmmm jd kangen solo.. udh lama bgt gk ksna.,buruk
@gabrielmarvingoenadi coba ki,baik
@yunanandriva,buruk
@fikk_fikaaa @anayuliysusilowati plissss ajak aku kesini wkwkwk,baik
"Cuma 1.5km dari rumah, kemarin kesana gara-gara postingan ini, Enak mantap !! ❤️",baik
@xyfrkaa_ 😍😍😍😍😍 besok ke sini,baik
@andrewtralala,buruk
cantumin min daftar harganya,baik
@antonsumbogo gassss sabtu wkwk,buruk
@azisahyat adoh ra mbak?,buruk
Ekhem @fauzan_nurh,buruk
Mau coba @margasepty ?,baik
@rtn_naa gas yaa,buruk
@fetty.fatmalikh gasssin,buruk
@krishnaros_,buruk
@gilarhargi,baik
"Yg pasti buat males Solo Baru banyak SPA & Massage, hiburan malamnya, jd gak nyaman tinggal di soba.. ndak ad yg mau ngakat tempat” ini biar lebih di evaluasi & jaga",buruk
@chefalaundry,baik
@rosalia_monika kapan kesini lagi?,buruk
@bryansandy4656 mau,buruk
@nia_fita09 menu diet gesss 😂😂,buruk
Anu..partner kulinerku saiki sibuk .dadi sementara engga sik😢,buruk
Recomended bgd....ownernya ramah parah....sajiannya sehat nikmat...harga pas ....harus bgt balik lagi...saladnya ngangeni wedang bunga talang nya top,baik
"bener , apalagi harganya bener"" sesuai .. apalagi cepet banget pelayanan nya",baik
@vitasaridamay,buruk
@chrisna_cadaz kuy,baik
@mas_dhanidwihutomo,buruk
@novagaluh23 saladdd,buruk
@fitri_eka_mardiana,buruk
"@diaharumningsih ,, lama gak kesini ya 😂",buruk
@henmaaa_ cobain yukkk,baik
@selviannovita,buruk
Knp ga dari dulu ya @rjehann,buruk
Terno rene ak sep @septya.chiwa,baik
❤️,baik
"Di Mbaki yaa , udah pernah kesana dong 😍",baik
