Comment,Positive,Neutral,Negative,Sentiment,post_username
udah bukak pagi ya kak sekarang..?😍,0.0001670498022576,0.0001339995942544,0.9996989965438844,negative,hunter.kuliner
@ririn.hermawati iya kk,0.0001806314103305,0.9993926286697388,0.0004267774638719,neutral,hunter.kuliner
@hunter.kuliner Siipp..besok gaass..😍,0.991476833820343,0.0027675996534526,0.0057555516250431,positive,hunter.kuliner
@ririn.hermawati siapp kk langsung di gaskeennn🙌,0.015048936009407,0.9819308519363404,0.0030201021581888,neutral,hunter.kuliner
Ini fav aku,0.996556520462036,0.0006335745565593,0.0028099864721298,positive,hunter.kuliner
@dahliasp mantappp,0.9918285012245178,0.0066521470434963,0.0015193452127277,positive,hunter.kuliner
Seger seger banget menu nya,0.9995105266571044,7.807144720572978e-05,0.0004113902105018,positive,hunter.kuliner
Ini kenyang bngt wlo sayur,0.999009609222412,0.0001880490308394,0.0008023317786864,positive,hunter.kuliner
Seger ijoo 💚💚💚,0.9991304278373718,0.0002345773100387,0.0006350885960273,positive,hunter.kuliner
@mantan.chefs uweenakkk langsung coba ken,0.9987152814865112,0.0005801437073387,0.0007045497186481,positive,hunter.kuliner
Yummy,0.9995859265327454,9.824429434956984e-05,0.0003158886393066,positive,hunter.kuliner
Ki ancen tob pol,0.0001487087429268,0.0004400544858071,0.9994112253189088,negative,hunter.kuliner
@jonyrahardja bener banget...best,0.998969316482544,0.0002687214000616,0.0007618708186782,positive,hunter.kuliner
Wenak 😍😍,0.99968159198761,6.576209125341848e-05,0.0002526372263673,positive,kuliner_asiksolo
@kliksolo TOP TENAN besti 🔥👏,0.9992295503616332,0.0005607695784419,0.0002096506214002,positive,kuliner_asiksolo
Beneran enak sih 🔥🔥,0.9996453523635864,7.731041841907427e-05,0.0002773301384877,positive,kuliner_asiksolo
@zilizi16 TOP DI KELASNYA 🔥👏,0.9982789754867554,0.0008979164995253,0.0008231349056586,positive,kuliner_asiksolo
Kesini yok 😢 @zilizi16,0.0001098951615858,0.0002188423095503,0.999671220779419,negative,kuliner_asiksolo
@delia_arimurti benjir gassss sih,0.0006391495699062,0.0001922884548548,0.9991686344146729,negative,kuliner_asiksolo
Uenak nya,0.9995272159576416,7.984108378877863e-05,0.0003929582017008,positive,kuliner_asiksolo
@kedaisembako_tbalai cuss kak cobain,0.9972781538963318,0.0020576061215251,0.000664172344841,positive,kuliner_asiksolo
Sehat teninnn cocok buat diet,0.9995927214622498,0.0001333832042291,0.0002739697520155,positive,kuliner_asiksolo
@jonyrahardja bener banget ko 😍👏,0.9970530271530152,0.0004276121908333,0.0025192936882376,positive,kuliner_asiksolo
Cocok nih 😍,0.9994655251502992,6.626747199334204e-05,0.0004682238504756,positive,kuliner_asiksolo
"Sdh Beberapa Kali ke Sana, Cmn Sayang'nya buka'nya Sore. Berharap Buka dr Siang 🤭",0.990764856338501,0.005564578808844,0.0036705194506794,positive,devadinda
@desi3_dt Yess!!! Hehehe...,0.0017969211330637,0.0003023038734681,0.9979007244110109,negative,devadinda
@mimijelitaimut mulai hari ini kami buka mulai jam 10.30 -21.00 ya kaa.....silakan,0.000144201942021,0.9996020197868348,0.0002538178232498,neutral,devadinda
"@sebelasrasa Wuizz... Bneran, Alhmdlillah Soal'nya klo Siang Aq sll Maen ke Daerah Soba. Next Pasti Gas Bt Mkn Siang. Mksh ya Ka' Atas Info'nya 👍🙏",0.9966163039207458,0.0014899228699505,0.001893711509183,positive,devadinda
"Menunya Enak2 dan semua fresh🫶🏻, aku sudah pernah nyoba.. yang punya bocil ada playgroundnya juga❤️",0.9997009038925172,0.0001624994329176,0.0001366181386401,positive,devadinda
Wah penasaran pol save dlu,0.0004242516006343,0.0007556016207672,0.9988201260566713,negative,devadinda
"@rachelanggraini_ enak mbaa, harus coba",0.9256303906440736,0.0545375682413578,0.01983193308115,positive,devadinda
spill harga2 kk,0.0135399978607892,0.9838400483131408,0.0026199640706181,neutral,devadinda
@putri.arms salad start 22-30k kak tergantung topping apa,0.0004757087153848,0.999377429485321,0.0001469325798097,neutral,devadinda
Enak semuanya🤤,0.0873694121837616,0.0015039140125736,0.9111267328262328,negative,devadinda
The bestt...udh pernah nyobain❤️,0.9996775388717652,0.0001790574315236,0.0001434028527,positive,devadinda
Salad nya best,0.9977474808692932,0.000914352829568,0.0013382375473156,positive,devadinda
Ngiler,0.0011015119962394,0.00013478929759,0.9987636804580688,negative,devadinda
@dininnnn_ 😮😮,0.0199557356536388,0.0057163755409419,0.9743278622627258,negative,devadinda
@dininnnn_ 😮😮,0.0199557356536388,0.0057163755409419,0.9743278622627258,negative,devadinda
@sholut_169,0.0002630670787766,0.0002330363058717,0.9995038509368896,negative,devadinda
Baguss banget tempatnyaaa🔥,0.9998123049736024,6.0629819927271456e-05,0.0001271108194487,positive,rekomendasijateng
Enak 😍,0.0227010939270257,0.0002850430028047,0.977013885974884,negative,rekomendasijateng
Syahduu kak 😍🍃,0.999657392501831,0.0001050298815243,0.0002375817857682,positive,rekomendasijateng
Kepoooooo deh,0.9982919096946716,0.0002811117155943,0.0014269417151808,positive,rekomendasijateng
Ini enakkk bgt,0.9993979930877686,7.400140748359263e-05,0.0005279755569063,positive,rekomendasijateng
Ketok enak ki🔥🔥,0.9996830224990844,8.176419942174107e-05,0.0002352762676309,positive,rekomendasijateng
"Pernah kesini, porsinya uakeh pol",0.9109567403793336,0.0821364149451255,0.0069068362936377,positive,rekomendasijateng
Baru tau ada resto salad,0.9937706589698792,0.0004942028899677,0.0057350439019501,positive,rekomendasijateng
Wahhh mantapppp🔥😍,0.9995892643928528,9.311491885455324e-05,0.0003177166217938,positive,rekomendasijateng
@arifkurr @endahaibara pgn kesini 🤭,0.000384515908081,0.9993535876274108,0.0002618479484226,neutral,rekomendasijateng
@dyah_ummu_jundi ayook,0.0013707098551094,0.9762853384017944,0.022343847900629,neutral,rekomendasijateng
@maaaratuss,0.937620997428894,0.0552261807024478,0.0071528600528836,positive,rekomendasijateng
Endesss ini mah......rasa yg patut dicobaaa,0.999514937400818,0.0001629011385375,0.0003221498336642,positive,solodelicious
"tanya dulu ya, misal viral terus ramai, jaminan kualitas rasanya sama ndk ya? yg sudah2 sih viral terus asal aja masaknya, jadi cm numpang lewat saja bukan menjadi langganan dikemudian hari",0.0005174478283151,0.000268113479251,0.9992144107818604,negative,solodelicious
Owner nya baik 😊,0.9972320199012756,0.0003954908752348,0.0023724404163658,positive,solodelicious
"Sepertinya mak nyus, tapi sayang rame nya gak karuan ya ? mikir2 lagi berarti 😅",0.0028000411111861,0.0002763298980426,0.9969236254692078,negative,solodelicious
50 meter dari rumah orang tuaku ini😮,0.0009946669451892,0.9983310103416444,0.0006742767291143,neutral,solodelicious
Recommended 👍👍,0.9996436834335328,7.865501538617536e-05,0.0002776102046482,positive,solodelicious
Dimana bro lokasi nya gua tertarik ni,0.922332763671875,0.0611417107284069,0.0165255814790725,positive,solodelicious
Info kak @sutarto_dwis,0.0005251931142993,0.99935120344162,0.0001236128009622,neutral,solodelicious
Mampir ke @bakmi_pakbagongbaturan .itu jg teras rumah di sulap jd warung bakmi🔥,0.0032798219472169,0.9964218139648438,0.0002984150778502,neutral,solodelicious
@novitacahyani201,0.0003902059979736,0.9994691014289856,0.0001407674426445,neutral,solodelicious
"Worth it bgt ini. Porsinya buat saya yg lagi pengen bulky, pas bgt porsinya. Nasinya ga terlalu byk, lebih banyak lauknya ketimbang nasinya. Harga sesuai bgtlah pokoknya. TOP!! @sebelasrasa",0.999642848968506,0.0001208694884553,0.0002363338717259,positive,solodelicious
@hendra_nc wait! Saya ga diendorse hlo ya gaes. Real testimonial ini.,0.0064091775566339,0.0279384907335042,0.9656522870063782,negative,solodelicious
@hallo_11178,0.7268037796020508,0.0217814687639474,0.2514147758483886,positive,solodelicious
@aghofur88 hooh kak wes reti aku kui metu ng berandaku,0.0001833461137721,0.0007244652952067,0.9990922212600708,negative,solodelicious
@dinda_mamaditan,0.0001973578619072,0.999619483947754,0.0001831925183068,neutral,solodelicious
"@ririowll iki nggone budi ,woll @budi_tiara",0.0011864233529195,0.9808953404426576,0.0179183278232812,neutral,solodelicious
@m.taufikhimawan hayukkkkk ksana...,0.0066713988780975,0.9819325804710388,0.0113960495218634,neutral,solodelicious
@keyzhaalyc_,0.973899245262146,0.021698048338294,0.0044027082622051,positive,solodelicious
Ning ndesomu iki @tesalonika_marta,0.0002886391011998,0.9962115287780762,0.0034999372437596,neutral,solodelicious
Suara,0.0083709368482232,0.0009508482180535,0.9906781911849976,negative,solodelicious
Wajib cobaaaa🙌,0.999573290348053,8.572303340770304e-05,0.0003410791105125,positive,dahliasp
@miyanatara iya kak kids friendly,0.0064780442044138,0.9930548071861268,0.0004671360657084,neutral,dahliasp
Kok enakkk keliatannyaaaa😍,0.9968984127044678,8.646974310977384e-05,0.0030151014216244,positive,dahliasp
@meitadinaiff beneran enakkk😍,0.9997809529304504,6.567536183865741e-05,0.0001534077164251,positive,dahliasp
Bikin ngiler makanannya😍,0.99314945936203,0.0006800880073569,0.0061704493127763,positive,dahliasp
@nyuun2 siniii main solo🔥,0.0049660219810903,0.992068886756897,0.0029651122167706,neutral,dahliasp
woww makanannya enak2 nih 😍,0.9997913241386414,6.753793422831222e-05,0.0001411618723068,positive,dahliasp
@_ataaaaa salad sayur nya bestt ini😍👏,0.999697208404541,0.000117958355986,0.0001848339597927,positive,dahliasp
enaaaak nihh😍,0.9974203109741212,0.0002270324621349,0.0023526616860181,positive,dahliasp
Mauu cobaaaa🤤🤤,0.999685525894165,8.161886944435537e-05,0.0002328145055798,positive,dahliasp
@karinaisty.k referensi salad date😂,0.0011751719284802,0.996020495891571,0.0028043559286743,neutral,dahliasp
Aaa salpok porsinyaa bisa buat sharing nihh,0.9970924854278564,0.0015215505845844,0.0013859577011317,positive,dahliasp
@mfth_nd iyups mana gk pahit samsek👏,0.9963799118995668,0.0023565064184367,0.0012635056627914,positive,dahliasp
Jadii pengenn cobaaa😍,0.9809881448745728,0.0002885536814574,0.0187233723700046,positive,dahliasp
@ronaadzkiasyaa gas yuu ka👏,0.9936827421188354,0.0053738676942884,0.000943380582612,positive,dahliasp
Manttaaappp😍,0.9997040629386902,7.994313637027517e-05,0.0002159704454243,positive,dahliasp
@yetinurfa sini kesolo kaaaa,0.7450927495956421,0.0010589220328256,0.2538483142852783,positive,dahliasp
mau saladnyaa 🤤🤤,0.998305320739746,0.0006693421746604,0.0010253791697323,positive,dahliasp
Porsinya byk bgt ini,0.3770417273044586,0.0010209702886641,0.6219373941421509,negative,dahliasp
@liburanpertama dan murah👏,0.9997703433036804,9.482420864515008e-05,0.0001348326768493,positive,dahliasp
"Effort kesini, harganya terjangkau, enak dan porsinya banyakk",0.9997861981391908,0.0001030142448144,0.000110823806608,positive,dahliasp
"@manganterus.le iyakan mas, enak lagi",0.9272337555885316,0.0314659588038921,0.0413002297282218,positive,dahliasp
Enak niiii,0.0007156152860261,7.901018398115411e-05,0.9992054104804992,negative,dahliasp
@novelinakusuma_ setuju❤️,0.0023625229950994,0.9971078038215636,0.0005296531016938,neutral,dahliasp
Menggoda lidah,0.0011934605427086,0.0002572755038272,0.9985492825508118,negative,dahliasp
@sintadhilaaaa kalap😂,0.0140158608555793,0.0018213716102764,0.9841628074645996,negative,dahliasp
Salad nya keliahan fresh pol😍,0.9988357424736024,0.0002535259991418,0.0009107355726882,positive,dahliasp
"@mbakbulee iya bener ka, fresh langsung dri petani sekitar kampung😍",0.9462310671806335,0.0376934297382831,0.0160754676908254,positive,dahliasp
Bar2 amat porsinya 🤤,0.9994117021560668,0.0001394160353811,0.0004488590057007,positive,dahliasp
@madebyandni murah juga kaaa,0.9996955394744872,0.0001229695626534,0.0001815106661524,positive,dahliasp
Hidden gems ya ini,0.912629246711731,0.0019568253774195,0.0854138731956482,positive,dahliasp
@kesanakesini_id iyaaa kakk masuk gang2😂,0.0011480652028694,0.0025891251862049,0.9962628483772278,negative,dahliasp
Minjem sepeda listriknya,0.0002996943367179,0.0020799944177269,0.9976202845573424,negative,dahliasp
@jonyrahardja gratisssss lageee,0.7538327574729919,0.1176039800047874,0.1285633146762848,positive,dahliasp
Wahhh recomend nihhh,0.999235987663269,0.0001259806886082,0.0006380388513207,positive,dahliasp
@irmantaopik top😍🔥,0.9994818568229676,0.000221173002501,0.0002970018540509,positive,dahliasp
Endul keknyaa,0.000706139835529,0.9988695979118348,0.0004242145805619,neutral,dahliasp
@nurainihening enak beneran kaaa,0.9997169375419616,0.0001143932458944,0.0001685918105067,positive,dahliasp
Endulll,0.9961431622505188,0.0010641121771186,0.0027927292976528,positive,dahliasp
😍😍😍pengenn,0.9997233748435974,6.863033922854811e-05,0.0002080137637676,positive,dahliasp
Serius ini sehat dan enak,0.9997257590293884,6.971121183596551e-05,0.0002045394503511,positive,dahliasp
penasarann,0.9611817598342896,0.000832280551549,0.0379859022796154,positive,dahliasp
Mantul iniii🤤,0.2147126793861389,0.0110913347452878,0.7741959095001221,negative,dahliasp
Aahhh penasaran mau cobak 😍,0.0006800542469136,0.0003094460698775,0.999010443687439,negative,dahliasp
Mauuu jugaaak,0.9982293248176576,0.0002182005409849,0.0015524489572271,positive,dahliasp
aaa ini enak bgtt,0.9994376301765442,6.824872980359942e-05,0.0004941404331475,positive,dahliasp
Enakkk ni,0.001105792238377,8.033657650230452e-05,0.9988138675689696,negative,dahliasp
aduhh mau bangett,0.0032185937743633,0.0001348051009699,0.9966465830802916,negative,dahliasp
masok nii,0.0008426383719779,0.0002318264741916,0.998925507068634,negative,dahliasp
aaa mauu cobaaaaa,0.998834192752838,0.0001286619954043,0.0010371117386966,positive,dahliasp
wiii mau😍,0.1382216662168502,0.615269124507904,0.2465092092752456,neutral,dahliasp
otwww,0.0126766972243785,0.0004409384564496,0.9868823885917664,negative,dahliasp
Menarik menarikkk😍,0.9997066855430604,6.573527934961021e-05,0.0002274528669659,positive,dahliasp
Yaampun ngilerr,0.0047486275434494,0.0001780641905497,0.9950732588768004,negative,dahliasp
Ngilerrr🔥,0.042874377220869,0.0005565361934714,0.9565691351890564,negative,dahliasp
@ericha_nl,0.9911954402923584,0.0022045928053557,0.0065999673679471,positive,dahliasp
@fariz.tailor_jasblazer.mbahman,0.0002915876393672,0.9987583160400392,0.0009500716114416,neutral,dahliasp
"Baru sekali kesini langsung jatuh cinta, nagih. Vibes nya itu lho, bikin betah makan bareng keluarga.",0.9987552165985109,0.0001396459847455,0.0011051275068894,positive,solodelicious
@sitadwija mantaps 😂,0.9997126460075378,0.0001110235170926,0.0001762902829796,positive,solodelicious
EH ADA SAYANYA😂,0.017012471333146,0.0112705267965793,0.9717169404029846,negative,solodelicious
Ada aku sm keluarga kak min.. Udah 2x dan nagih deket lagi,0.8925653696060181,0.0292003657668828,0.0782342329621315,positive,solodelicious
Mantab 🔥,0.9992289543151855,0.0001587295118952,0.0006122075137682,positive,solodelicious
@hargamenu.solo ✨✨,0.0016508640255779,0.9972453117370604,0.0011037777876481,neutral,solodelicious
😍😍,0.9994452595710754,9.736495121615008e-05,0.0004573699261527,positive,solodelicious
Mantab 👍,0.9996871948242188,7.609911699546501e-05,0.0002367312263231,positive,solodelicious
@ahmd.rzlld,0.0009632396977394,0.9960950016975404,0.002941703191027,neutral,solodelicious
@ikyypratiwi gaskeun ka,0.0001899113558465,0.9993873834609984,0.0004226930614095,neutral,solodelicious
@eleanaputriiii,0.5077996850013733,0.0740770101547241,0.418123334646225,positive,solodelicious
@zeehanamira gaskeun cuy,0.0110149532556533,0.9841476678848268,0.0048373853787779,neutral,solodelicious
Recomended bgt👏,0.998928725719452,0.0001054175663739,0.0009658426861278,positive,kuliner.neng.solo
Menunya siiipp.... Sayangnya cuma buka dr sore. Ditunggu bisa buka dr pagi 😍😍,0.07581577450037,0.1658000648021698,0.758384108543396,negative,kuliner.neng.solo
Kemaren sudah cek tutup😢,0.0005396562628448,0.9228082895278932,0.0766519457101821,neutral,kuliner.neng.solo
Syenggg @fotografer.solo.jogja,0.0135082760825753,0.980899691581726,0.0055921063758432,neutral,kuliner.neng.solo
@prdstagrn iki wae seng cedak ayuh @ppink_96 @tifahlaa,0.4401487410068512,0.436526894569397,0.1233244314789772,positive,kuliner.neng.solo
Ayo @na_isnana coba lagi,0.978236973285675,0.007155377883464,0.0146076800301671,positive,kuliner.neng.solo
@inana_wati ayok kapan 😁,0.001309382263571,0.0323572792112827,0.9663333296775818,negative,kuliner.neng.solo
@na_isnana menunggu longgarnya 😂,0.068472221493721,0.0334395952522754,0.8980882167816162,negative,kuliner.neng.solo
@muhammadirvans__,0.6138388514518738,0.243297129869461,0.1428640186786651,positive,kuliner.neng.solo
@saya_mab,0.1193009689450264,0.617726743221283,0.2629723250865936,neutral,kuliner.neng.solo
@puri._cendana_ningrum,0.0004789757658727,0.9990737438201904,0.0004472531436476,neutral,kuliner.neng.solo
@dodit.stwn_,0.0037050114478915,0.9470083117485046,0.0492866486310958,neutral,kuliner.neng.solo
@atauliaa_ ngiler,0.0008963089785538,0.998481810092926,0.0006219010101631,neutral,kuliner.neng.solo
@_fikrisetyawan yukkkk,0.002078547142446,0.972881317138672,0.025040116161108,neutral,kuliner.neng.solo
❤️❤️❤️,0.9989965558052064,0.0003059407754335,0.0006975599681027,positive,kuliner.neng.solo
Pingin 🫠,0.6306802034378052,0.0020036704372614,0.3673160970211029,positive,kuliner.neng.solo
Ngeneki ra sih @prdstagrn @ppink_96,0.0048431549221277,0.0227657295763492,0.9723911285400392,negative,kuliner.neng.solo
"@rinahondasolo iyo mak, ini versi sukoharjo 😂",0.0001504685205873,0.9988916516304016,0.0009579034522175,neutral,kuliner.neng.solo
@johanes_adi_chris kita tercyduk🤭,0.0001700473076198,0.9994155168533324,0.0004144478880334,neutral,kuliner.neng.solo
@fitriasulistyowati 😂😂,0.0132687017321586,0.0169137772172689,0.9698174595832824,negative,kuliner.neng.solo
@abigailasaa,0.1296643614768982,0.833659827709198,0.0366757847368717,neutral,kuliner.neng.solo
@tiaraa.sukmaa bar gajian ya,0.0004276924591977,0.9985978007316588,0.0009745372226461,neutral,kuliner.neng.solo
@mu_thik @riskidewin @mrtha.ndr,0.0012647780822589,0.9807158708572388,0.0180194433778524,neutral,kuliner.neng.solo
Asikkkkkkkkk ❤️😍,0.9996421337127686,8.444097329629585e-05,0.0002734158479142,positive,amelliasyabila
pengen kesini blom jadi² ahhh,0.000447867118055,8.154134411597624e-05,0.9994706511497498,negative,amelliasyabila
kayanyaaa enak bgtt😍😍,0.9997748732566832,6.305675196927041e-05,0.0001620477851247,positive,amelliasyabila
at least kalo aku solo ajakin ke sana sii,0.5653823018074036,0.361090213060379,0.0735275372862815,positive,amelliasyabila
Aaahhhh ngilerrr,0.986459255218506,0.0004606740258168,0.0130801005288958,positive,amelliasyabila
ih mendadak laper,0.001004829769954,9.81367047643289e-05,0.9988969564437866,negative,amelliasyabila
@ilma.gemini,0.0009595556766726,0.9615270495414734,0.0375134013593196,neutral,bukumenudisolo
Berasa makan d rumah😂,0.9987818598747252,0.0007266080356203,0.0004914797609671,positive,bukumenudisolo
Skrg ada playground ya min,0.0111139696091413,0.9882500171661376,0.0006360687548294,neutral,bukumenudisolo
"@siska.mirawati iya kak, sekarang ada playground sama buku bacaan juga 😍",0.0391833484172821,0.9531021118164062,0.007714569568634,neutral,bukumenudisolo
Yo sip ... Suk mrunu,0.0004255000385455,0.0012609392870217,0.9983135461807252,negative,bukumenudisolo
@zaen.mahmudi mantap 😍,0.9994338154792786,0.000259896274656,0.0003062910691369,positive,bukumenudisolo
@rellyanggraeni ayok pak kapan kesini beb,0.0392055213451385,0.934633731842041,0.0261607486754655,neutral,bukumenudisolo
"@umycuplies gass beb yok, ini deket beb",0.127679631114006,0.8526023626327515,0.01971803791821,neutral,bukumenudisolo
@lisiasuryadewi ehemmmm,0.1052601933479309,0.0047024632804095,0.8900372982025146,negative,bukumenudisolo
Kerudung biru is that youu @melleniaarta,0.0044512534514069,0.995126485824585,0.0004222196293994,neutral,bukumenudisolo
Yg ni dmn er?,0.0002566622861195,0.000170043829712,0.999573290348053,negative,ery_erandi
@talisa.kitchen sebelasrasa mbakkk...baki😁,0.9950974583625792,0.001582617056556,0.0033200089819729,positive,ery_erandi
